Name,Address,Closed bucket,Distance,Latitude,Longitude
Double Sushi Japanese Restaurant,"2795 Danforth Ave (Dawes Rd.), Toronto ON M4C 1M2",LikelyOpen,613,43.691468,-79.288619
Maple Leaf Dairy,"2861 Danforth Ave (Dawes st.), Toronto ON M4C 1M2",LikelyOpen,558,43.691468,-79.288619
Tim Hortons,"3003 Danforth Ave (Victoria Park Avenue), East York ON M4C 1M9",VeryLikelyOpen,177,43.691468,-79.288619
Mr Tastys Drive in,"2921 Danforth Ave (Sibley), Toronto ON M4C 1M4",LikelyOpen,437,43.691468,-79.288619
Popeye's Louisiana Kitchen,"2733 Danforth Ave (at Guest Ave.), Toronto ON M4C 1L8",LikelyOpen,764,43.691468,-79.288619
McDonald's,"2480 Gerrard St E (Victoria Park), Scarborough ON M1N 4C3",LikelyOpen,467,43.691468,-79.288619
Ritz Caribbean Foods,"3003 Danforth Ave (Victoria Park), Toronto ON M4C 1M9",LikelyOpen,79,43.691468,-79.288619
Tim Hortons,"3075 Danforth Ave, Toronto ON M1L 1A8",VeryLikelyOpen,98,43.691468,-79.288619
Wing Wing Restaurant,"3032 Danforth Ave (Thyra Avenue), East York ON M4C 1N2",LikelyOpen,123,43.691468,-79.288619
Midnight Sun,"3026E Danforth Ave (Danforth Avenue), Toronto ON M4C 1N2",LikelyOpen,128,43.691468,-79.288619
Burger King,"3003 Danforth Ave (Victoria Park Ave), Toronto ON M4C 1M9",VeryLikelyOpen,69,43.691468,-79.288619
Sizzling Tandoori,"3030 Danforth Ave, East York ON M4C 1N2",LikelyOpen,135,43.691468,-79.288619
Subway,"3003 Danforth Ave (in Shoppers World), Toronto ON M4C 1M9",LikelyOpen,215,43.691468,-79.288619
Wings & Things,"3003 Danforth Ave, Toronto ON M4C 1M9",LikelyOpen,281,43.691468,-79.288619
Subhan Halal Pizza,"2970 Danforth Ave, Toronto ON M4C 1M6",LikelyOpen,298,43.691468,-79.288619
Via Cibo,"3003 Danforth Ave, Toronto ON M4C 1M9",VeryLikelyOpen,312,43.691468,-79.288619
Hakka Chopsticks,"2940 Danforth Ave, Toronto ON M4C 1M5",LikelyOpen,385,43.691468,-79.288619
Chowk Bazaar Burger & Pizza,"3210 Danforth Ave, Scarborough ON",LikelyOpen,467,43.691468,-79.288619
Mehman's Diner,"3210 Danforth Ave (pharmacy ave), Scarborough ON M1L 1C1",LikelyOpen,467,43.691468,-79.288619
Little Caesars Pizza,"2480 Gerrard St E, Toronto ON M1N 4C3",VeryLikelyOpen,502,43.691468,-79.288619
Coffee Time,"2480 Gerrard St E (Vic park and Gerrard), Toronto ON M1N 4C3",LikelyOpen,509,43.691468,-79.288619
Anarkali Chathut,"11 Crescent Pl, East York ON M4C 5L9",Unsure,522,43.691468,-79.288619
Danforth Roti Shop,"2844 Danforth Ave (Dawes Road), Toronto ON M4C 1M1",LikelyOpen,575,43.691468,-79.288619
Two Brothers Shawarma,"2825 Danforth Ave, Toronto ON M4C 1M2",VeryLikelyOpen,590,43.691468,-79.288619
Al-Tanoor Bbq & Bakery,"2825 Danforth Ave (Danforth Ave. & Dawes Rd.), Toronto ON M4C 1M2",LikelyOpen,591,43.691468,-79.288619
Reginos Pizza,"3331 Danforth Ave, Toronto ON M1L 1C5",LikelyOpen,610,43.691468,-79.288619
James Black Bear Pub,"3276 Danforth Ave, Scarborough ON M1L 1C3",Unsure,656,43.691468,-79.288619
Shirley Restaurant,"2783 Danforth Ave, Toronto ON M4C 1L9",LikelyOpen,677,43.691468,-79.288619
Chopstick Foods,"3300 Danforth Ave (Byng ave), Toronto ON M1L 1C4",LikelyOpen,725,43.691468,-79.288619
Vips Sushi,"9 Byng Ave, Scarborough ON M1L 3N5",Unsure,743,43.691468,-79.288619
Shahi Tiffin Restaurant,"2743 Danforth Ave (Dawes and Danforth), Toronto ON M4C 1L8",LikelyOpen,761,43.691468,-79.288619
Tropical Goodness,"2708 Danforth Ave, Toronto ON M4C 1L7",Unsure,831,43.691468,-79.288619
Cool Runnings Restaurant,"2708 Danforth Ave, Toronto ON M4C 1L7",Unsure,831,43.691468,-79.288619
Poonam Delight,"2658 Danforth Ave (Main Street), Toronto ON M4C 1L7",LikelyOpen,918,43.691468,-79.288619
Poonan Delite Indian Restaurant,"2658 Danforth Ave, Toronto ON M4C 1L7",Unsure,918,43.691468,-79.288619
Sedaghat Restaurant,"3342 Danforth Ave (Danforth Rd), Toronto ON M1L 1C8",LikelyOpen,931,43.691468,-79.288619
Su-Good Chinese,"2626 Danforth Ave, Toronto ON M4C 1L7",LikelyOpen,979,43.691468,-79.288619
411Catering.Com,"3331 Danforth Ave, Toronto ON",Unsure,595,43.691468,-79.288619
Hengli Trading Services Inc,"2795 Danforth Ave, Toronto ON M4C 1M2",LikelyOpen,611,43.691468,-79.288619
Sherry Place,"2789 Danforth Ave, Toronto ON M4C 1L9",Unsure,672,43.691468,-79.288619
Simms Restaurant & Lounge,"2754 Danforth Ave, Toronto ON M4C 1L7",Unsure,736,43.691468,-79.288619
J'Adore Cakes Co,"3429 Yonge St, Toronto ON",Unsure,751,43.691468,-79.288619
Steam Whistle Brewing,"255 Bremner Blvd (btwn Rees St. & Simcoe St.), Toronto ON M5V 3M9",VeryLikelyOpen,338,43.640722,-79.391051
The Rec Room,"255 Bremner Blvd, Toronto ON M5V 3M9",LikelyOpen,347,43.640722,-79.391051
Le Select Bistro,"432 Wellington St W (at Spadina Ave), Toronto ON M5V 1E3",LikelyOpen,559,43.640722,-79.391051
SOMA chocolatemaker,"443 King St W, Toronto ON M5V 1K4",VeryLikelyOpen,634,43.640722,-79.391051
Bar Hop,"391 King St W (at Charlotte St), Toronto ON M5V 1K1",VeryLikelyOpen,579,43.640722,-79.391051
Rodney's Oyster House,"469 King St W (btwn Spadina & Brant St.), Toronto ON M5V 1K4",LikelyOpen,649,43.640722,-79.391051
Patria,"478 King St W (btwn Spadina Ave. & Brant St.), Toronto ON M5V 0A8",LikelyOpen,677,43.640722,-79.391051
Byblos Downtown,"11 Duncan St (at Pearl St), Toronto ON M5V 3M2",LikelyOpen,780,43.640722,-79.391051
Evviva Breakfast Restaurant,"25 Lower Simcoe St (Grand Trunk Cresc), Toronto ON M5J 3A1",VeryLikelyOpen,618,43.640722,-79.391051
Pai,"18 Duncan St (at Adelaide St W), Toronto ON M5H 3G8",VeryLikelyOpen,824,43.640722,-79.391051
Wilbur Mexicana,"552 King St W, Toronto ON M5V 1M3",LikelyOpen,778,43.640722,-79.391051
Music Garden Cafe,"466 Queens Quay W (Spadina), Toronto ON M5V 2Y3",LikelyOpen,384,43.640722,-79.391051
Baro,"485 King St W (Spadina Avenue), Toronto ON M5V 1K4",LikelyOpen,674,43.640722,-79.391051
Tim Hortons,"249 Queens Dr (Rees Street), Toronto ON M9N 2H8",VeryLikelyOpen,439,43.640722,-79.391051
Forno Cultura,"609 King St W, Toronto ON M5V 1M5",VeryLikelyOpen,872,43.640722,-79.391051
WVRST,"609 King St W (btwn Bathurst & Portland St), Toronto ON M5V 1M5",VeryLikelyOpen,871,43.640722,-79.391051
Gusto 101,"101 Portland St (btwn King St W & Adelaide St W), Toronto ON M5V 2N3",VeryLikelyOpen,879,43.640722,-79.391051
A&W Restaurant,"8 Mercer St (John St), Toronto ON M5V 0C4",LikelyOpen,595,43.640722,-79.391051
French Made,"80 Blue Jays Way (Mercer), Toronto ON M5V 2G3",LikelyOpen,534,43.640722,-79.391051
SOCO Kitchen + Bar,"75 Lower Simcoe St (Bremner), Toronto ON M5J 3A6",LikelyOpen,636,43.640722,-79.391051
Anejo,"600 King St W (King St W), Toronto ON M5V 1M3",LikelyOpen,833,43.640722,-79.391051
Pizzaiolo,"3 Rees St (Queens Quay), Toronto ON M5V 3J2",LikelyOpen,402,43.640722,-79.391051
Scaddabush Italian Kitchen & Bar Front Street,"200 Front St W (at Simcoe St), Toronto ON M5V 3J1",VeryLikelyOpen,639,43.640722,-79.391051
BeaverTails,"145 Queen's Quay W (York St), Toronto ON M5J 2H4",LikelyOpen,890,43.640722,-79.391051
The Keg Steakhouse + Bar,"560 King St W, Toronto ON M5V 0L5",VeryLikelyOpen,797,43.640722,-79.391051
WVRST - Union Station,"65 Front St W, Toronto ON M5J 1E6",VeryLikelyOpen,909,43.640722,-79.391051
Boxcar Social,"235 Queens Quay W, Toronto ON M5J 2G8",LikelyOpen,740,43.640722,-79.391051
La Carnita,"106 John St (at King St W), Toronto ON M5V 2E1",VeryLikelyOpen,735,43.640722,-79.391051
Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",VeryLikelyOpen,971,43.640722,-79.391051
Pearl Harbourfront Chinese Cuisine,"207 Queens Quay W, Toronto ON M5J 1A7",LikelyOpen,880,43.640722,-79.391051
Town Crier,"115 John St (at Adelaide St. W), Toronto ON M9N 1J9",LikelyOpen,823,43.640722,-79.391051
Cibo Wine Bar,"522 King St W, Toronto ON M5V 1L7",LikelyOpen,700,43.640722,-79.391051
Forget Me Not Cafe,"506 Adelaide St W, Toronto ON M5V 1T5",LikelyOpen,967,43.640722,-79.391051
Craft Kitchen,"410 Adelaide St W (at Spadina Ave), Toronto ON M5V 1S8",LikelyOpen,803,43.640722,-79.391051
Bosk,"188 University Ave, Toronto ON M5H 0A3",LikelyOpen,1013,43.640722,-79.391051
E11Even,"15 York St (at Bremner Blvd.), Toronto ON M5J 0A3",VeryLikelyOpen,795,43.640722,-79.391051
The Burger's Priest,"212 Adelaide St W, Toronto ON M5H 1W7",VeryLikelyOpen,924,43.640722,-79.391051
Beertown Public House - Toronto,"125 Wellington St W, Toronto ON M5J 0E8",VeryLikelyOpen,803,43.640722,-79.391051
Roses New York,"135 Fort York Blvd, Toronto ON M5V 0K2",VeryLikelyOpen,664,43.640722,-79.391051
Library Bar,"100 Front St W, Toronto ON M5J 1E3",LikelyOpen,927,43.640722,-79.391051
Hunters Landing,"82 Fort York Blvd, Toronto ON M5V 4A6",VeryLikelyOpen,458,43.640722,-79.391051
Kōst,"80 Blue Jays Way, Toronto ON M5V 2G3",LikelyOpen,523,43.640722,-79.391051
RS - Real Sports,"15 York St (at Bremner Blvd), Toronto ON M5J 0A3",VeryLikelyOpen,914,43.640722,-79.391051
Union Chicken,"65 Front Street West, Toronto ON M5J 1E6",LikelyOpen,842,43.640722,-79.391051
Kellys Landing,"123 Front St W, Toronto ON M5J 2M2",VeryLikelyOpen,805,43.640722,-79.391051
Belfast Love,"548 King St W (King & Brant), Toronto ON M5V 1M3",LikelyOpen,759,43.640722,-79.391051
Earl's Kitchen & Bar,"150 King St W (at York St.), Toronto ON M5H 1J9",LikelyOpen,996,43.640722,-79.391051
Tim Hortons,"55 York St (at Piper St), Toronto ON M5J 1R7",VeryLikelyOpen,907,43.640722,-79.391051
The Pint Public House,"277 Front St W, Toronto ON M5V 2X4",VeryLikelyOpen,343,43.640722,-79.391051
What a Bagel,"130 Spadina Ave (Richmond & Spadina), Toronto ON M5V 2L4",VeryLikelyOpen,851,43.640722,-79.391051
Le Select Bistro,"432 Wellington St W (at Spadina Ave), Toronto ON M5V 1E3",LikelyOpen,15,43.643834,-79.396649
SOMA chocolatemaker,"443 King St W, Toronto ON M5V 1K4",VeryLikelyOpen,182,43.643834,-79.396649
Rodney's Oyster House,"469 King St W (btwn Spadina & Brant St.), Toronto ON M5V 1K4",LikelyOpen,126,43.643834,-79.396649
Patria,"478 King St W (btwn Spadina Ave. & Brant St.), Toronto ON M5V 0A8",LikelyOpen,172,43.643834,-79.396649
Wilbur Mexicana,"552 King St W, Toronto ON M5V 1M3",LikelyOpen,211,43.643834,-79.396649
Baro,"485 King St W (Spadina Avenue), Toronto ON M5V 1K4",LikelyOpen,125,43.643834,-79.396649
Forno Cultura,"609 King St W, Toronto ON M5V 1M5",VeryLikelyOpen,330,43.643834,-79.396649
Gusto 101,"101 Portland St (btwn King St W & Adelaide St W), Toronto ON M5V 2N3",VeryLikelyOpen,318,43.643834,-79.396649
WVRST,"609 King St W (btwn Bathurst & Portland St), Toronto ON M5V 1M5",VeryLikelyOpen,333,43.643834,-79.396649
Anejo,"600 King St W (King St W), Toronto ON M5V 1M3",LikelyOpen,276,43.643834,-79.396649
The Keg Steakhouse + Bar,"560 King St W, Toronto ON M5V 0L5",VeryLikelyOpen,232,43.643834,-79.396649
Bar Hop,"391 King St W (at Charlotte St), Toronto ON M5V 1K1",VeryLikelyOpen,315,43.643834,-79.396649
Cibo Wine Bar,"522 King St W, Toronto ON M5V 1L7",LikelyOpen,149,43.643834,-79.396649
Banh Mi Boys,"392 Queen St W, Toronto ON M5V 2A6",VeryLikelyOpen,535,43.643834,-79.396649
Forget Me Not Cafe,"506 Adelaide St W, Toronto ON M5V 1T5",LikelyOpen,401,43.643834,-79.396649
Drom Taberna,"458 Queen St W, Toronto ON M5V 2A8",VeryLikelyOpen,546,43.643834,-79.396649
Craft Kitchen,"410 Adelaide St W (at Spadina Ave), Toronto ON M5V 1S8",LikelyOpen,312,43.643834,-79.396649
Raku,"456 Queen St W (at Augusta Ave), Toronto ON M5V 2A8",VeryLikelyOpen,537,43.643834,-79.396649
Pai,"18 Duncan St (at Adelaide St W), Toronto ON M5H 3G8",VeryLikelyOpen,792,43.643834,-79.396649
Byblos Downtown,"11 Duncan St (at Pearl St), Toronto ON M5V 3M2",LikelyOpen,784,43.643834,-79.396649
Steam Whistle Brewing,"255 Bremner Blvd (btwn Rees St. & Simcoe St.), Toronto ON M5V 3M9",VeryLikelyOpen,802,43.643834,-79.396649
Belfast Love,"548 King St W (King & Brant), Toronto ON M5V 1M3",LikelyOpen,191,43.643834,-79.396649
French Made,"80 Blue Jays Way (Mercer), Toronto ON M5V 2G3",LikelyOpen,412,43.643834,-79.396649
BarChef,"472 Queen St W (btwn Augusta & Denison), Toronto ON M5V 2B2",VeryLikelyOpen,545,43.643834,-79.396649
Dark Horse Espresso Bar,"215 Spadina Ave (at Sullivan St.), Toronto ON M5T 2C7",VeryLikelyOpen,748,43.643834,-79.396649
A&W Restaurant,"8 Mercer St (John St), Toronto ON M5V 0C4",LikelyOpen,613,43.643834,-79.396649
HotBlack Coffee,"245 Queen St W (at St Patrick St), Toronto ON M5V 1Z4",LikelyOpen,968,43.643834,-79.396649
La Carnita,"106 John St (at King St W), Toronto ON M5V 2E1",VeryLikelyOpen,662,43.643834,-79.396649
JaBistro,"222 Richmond St W, Toronto ON M5V 1V6",VeryLikelyOpen,946,43.643834,-79.396649
Simit & Chai Co,"787 King St W (at Niagara St), Toronto ON M5V 1N4",VeryLikelyOpen,810,43.643834,-79.396649
Town Crier,"115 John St (at Adelaide St. W), Toronto ON M9N 1J9",LikelyOpen,703,43.643834,-79.396649
Old York Bar & Grill,"167 Niagara St (at Wellington St W), Toronto ON M5V 1C9",LikelyOpen,813,43.643834,-79.396649
The Rec Room,"255 Bremner Blvd, Toronto ON M5V 3M9",LikelyOpen,850,43.643834,-79.396649
Kōst,"80 Blue Jays Way, Toronto ON M5V 2G3",LikelyOpen,377,43.643834,-79.396649
Ikkousha Ramen Toronto,"249 Queen St W (Queen/University), Toronto ON M5V 1Z4",VeryLikelyOpen,958,43.643834,-79.396649
Icha Tea,"235 Spadina Ave, Toronto ON M5T 2E2",LikelyOpen,828,43.643834,-79.396649
Roses New York,"135 Fort York Blvd, Toronto ON M5V 0K2",VeryLikelyOpen,581,43.643834,-79.396649
What a Bagel,"130 Spadina Ave (Richmond & Spadina), Toronto ON M5V 2L4",VeryLikelyOpen,403,43.643834,-79.396649
The Burger's Priest,"212 Adelaide St W, Toronto ON M5H 1W7",VeryLikelyOpen,906,43.643834,-79.396649
Hunters Landing,"82 Fort York Blvd, Toronto ON M5V 4A6",VeryLikelyOpen,410,43.643834,-79.396649
Music Garden Cafe,"466 Queens Quay W (Spadina), Toronto ON M5V 2Y3",LikelyOpen,750,43.643834,-79.396649
1 Kitchen,"550 Wellington St W, Toronto ON M5V 2V4",VeryLikelyOpen,429,43.643834,-79.396649
Scaddabush Italian Kitchen & Bar Front Street,"200 Front St W (at Simcoe St), Toronto ON M5V 3J1",VeryLikelyOpen,913,43.643834,-79.396649
Oretta,"633 King St W, Toronto ON M5V 1M5",LikelyOpen,414,43.643834,-79.396649
Northern Maverick Brewing Co,"115 Bathurst St (at Adelaide St W), Toronto ON M5V 2P9",LikelyOpen,522,43.643834,-79.396649
Pizzaiolo,"3 Rees St (Queens Quay), Toronto ON M5V 3J2",LikelyOpen,964,43.643834,-79.396649
Juicy Dumpling,"280 Spadina Ave, Toronto ON M5T 3A5",VeryLikelyOpen,998,43.643834,-79.396649
The Morning After,"88 Fort York Blvd, Toronto ON M5V 4A7",LikelyOpen,410,43.643834,-79.396649
The Wheat Sheaf Tavern,"667 King St W (at Bathurst), Toronto ON M5V 1M9",VeryLikelyOpen,477,43.643834,-79.396649
Tim Hortons,"120 Fort York Blvd (Fort York), Toronto ON M5V 0E3",VeryLikelyOpen,497,43.643834,-79.396649
Tim Hortons,"1275 Finch Ave W (Keele St.), North York ON M3J 0L5",VeryLikelyOpen,977,43.76073963892478,-79.5000273116394
Tim Hortons,"1493 Finch Ave W (Sentinel Rd), North York ON M3J 2G7",VeryLikelyOpen,60,43.76073963892478,-79.5000273116394
Caribbean Heat Family Restaurant,"1300 Finch Ave W (Keele), Toronto ON M3J 3K2",LikelyOpen,928,43.76073963892478,-79.5000273116394
Nino d'Aversa Bakery Ltd,"1 Toro Rd (at Keele St.), Toronto ON M3J 2A4",LikelyOpen,897,43.76073963892478,-79.5000273116394
Subway,"1300 Finch Ave W, Toronto ON M3J 3K2",LikelyOpen,930,43.76073963892478,-79.5000273116394
Masala Cafe,"59 Four Winds Dr, North York ON M3J 1K7",LikelyOpen,276,43.76073963892478,-79.5000273116394
El Jefe de Pollo,"3585 Keele St (Finch), Toronto ON M3J 3H5",LikelyOpen,288,43.76073963892478,-79.5000273116394
Swadish Grill,"45 Four Winds Dr, Toronto ON M3J 1K7",LikelyOpen,306,43.76073963892478,-79.5000273116394
Student Pizza & Curry Inc,"45 Four Winds Dr, North York ON M3J 1K7",LikelyOpen,337,43.76073963892478,-79.5000273116394
Sapore Pizza & Wing,"45 Four Winds Dr (Sentinel Road), Toronto ON M3J 1K7",LikelyOpen,363,43.76073963892478,-79.5000273116394
Pizza Pizza,"1300 Finch Ave W, Toronto ON M3J 3K2",LikelyOpen,921,43.76073963892478,-79.5000273116394
Pizza Nova,"3928 Keele St, Toronto ON M3J 1N8",LikelyOpen,742,43.76073963892478,-79.5000273116394
McDonald's,"3929 Keele St (at Finch Ave. W), Toronto ON M3J 1N6",LikelyOpen,806,43.76073963892478,-79.5000273116394
Popeye's Louisiana Kitchen,"3931 Keele St, Toronto ON M3J 1N6",VeryLikelyOpen,807,43.76073963892478,-79.5000273116394
Pita Land,"1840 Finch Ave W, Toronto ON",LikelyOpen,820,43.76073963892478,-79.5000273116394
Mr.Sub,"3885 Keele St, North York ON M3J 1N6",LikelyOpen,822,43.76073963892478,-79.5000273116394
Willy's Jerk,"3889 Keele St (btwn Finch Ave. W. & Toro Rd.), Toronto ON M3J 1N6",LikelyOpen,825,43.76073963892478,-79.5000273116394
Tender Shawarma & Grill,"3893 Keele St, Toronto ON M3J 1N6",LikelyOpen,834,43.76073963892478,-79.5000273116394
Phở Nobu,"1325 Finch Ave W, Toronto ON M3J 2G5",LikelyOpen,856,43.76073963892478,-79.5000273116394
Aji Sushi,"1325 Finch Ave W, Toronto ON M3J 2G5",LikelyOpen,856,43.76073963892478,-79.5000273116394
Fox & Fiddle-Finch,"1285 Finch Ave W, Toronto ON M3J 2G5",VeryLikelyOpen,985,43.76073963892478,-79.5000273116394
Taco Bell,"3777 Keele St, North York ON M3J 1N5",LikelyOpen,887,43.76073963892478,-79.5000273116394
Applejacks Restaurant,"3757 Keele St, North York ON M3J 1N4",LikelyOpen,917,43.76073963892478,-79.5000273116394
Quiznos,"3747 Keele St, Toronto ON M3J 1N4",LikelyOpen,923,43.76073963892478,-79.5000273116394
Panzerotto Pizza,"Finch Ave West 1300, North York ON M3J 3K2",LikelyOpen,923,43.76073963892478,-79.5000273116394
Pho Lien Hung,"1300 Finch Ave W, Toronto ON M3J 3K2",LikelyOpen,928,43.76073963892478,-79.5000273116394
Tajikistan Restaraunt,"1290 Finch Ave W (Keele and Finch), Toronto ON M3J 3K3",LikelyOpen,931,43.76073963892478,-79.5000273116394
Falafel Express,"1300 Finch Ave W, North York ON M3J 3K2",LikelyOpen,932,43.76073963892478,-79.5000273116394
Canteen by Fresh Tiffin,"1300 Finch Ave W, North York ON M3J 3K2",LikelyOpen,933,43.76073963892478,-79.5000273116394
Top One Lounge,"1300 Finch Ave W, North York ON M3J 3K2",LikelyOpen,933,43.76073963892478,-79.5000273116394
Reginos Pizza,"1300 Finch Ave W (Keele and Finch), North York ON M3J 3K2",LikelyOpen,940,43.76073963892478,-79.5000273116394
Yunnan Kitchen Delights Restaurant,"1300 Finch Ave W (Finch and Keele), North York ON M3J 3K2",LikelyOpen,950,43.76073963892478,-79.5000273116394
