Name,Address,Closed bucket,Distance,Latitude,Longitude
Sapore Pizza & Wing,"45 Four Winds Dr (Sentinel Road), Toronto ON M3J 1K7",LikelyOpen,363,43.76073963892478,-79.5000273116394
Pizza Pizza,"1300 Finch Ave W, Toronto ON M3J 3K2",LikelyOpen,921,43.76073963892478,-79.5000273116394
Pizza Nova,"3928 Keele St, Toronto ON M3J 1N8",LikelyOpen,742,43.76073963892478,-79.5000273116394
Panzerotto Pizza,"Finch Ave West 1300, North York ON M3J 3K2",LikelyOpen,923,43.76073963892478,-79.5000273116394
Reginos Pizza,"1300 Finch Ave W (Keele and Finch), North York ON M3J 3K2",LikelyOpen,940,43.76073963892478,-79.5000273116394
Pizza Studio,"105 the Pond Rd, Toronto ON M3J 0K9",LikelyOpen,997,43.76073963892478,-79.5000273116394
Pizza Fresca,"302 College St (at Robert St), Toronto ON M5T 1R9",LikelyOpen,427,43.6568254,-79.3966159
Maker Pizza,"55A Cameron St, Toronto ON M5T 2H1",LikelyOpen,743,43.6568254,-79.3966159
Pizzeria Via Mercanti,"188 Augusta Ave, Toronto ON M5T 2L6",VeryLikelyOpen,524,43.6568254,-79.3966159
Fusaro's Kitchen,"147 Spadina Ave (at Richmond St. W.), Toronto ON M5V 2L7",VeryLikelyOpen,968,43.6568254,-79.3966159
Big Trouble Pizza,"235 Spadina Ave (Dundas St. W), Toronto ON M5T 2E2",LikelyOpen,616,43.6568254,-79.3966159
Village Pizza Dundas,"761 Dundas St W, Toronto ON M6J 1T9",LikelyOpen,966,43.6568254,-79.3966159
Levetto China Town,"382 Spadina Ave (Spadina Ave.), Toronto ON M5T 2G5",LikelyOpen,277,43.6568254,-79.3966159
Pizzaiolo,"289 Dundas St W (at McCaul St), Toronto ON M5T 1G1",LikelyOpen,536,43.6568254,-79.3966159
Pizza Nova,"267 College St (at Spadina Ave), Toronto ON M5T 1R6",LikelyOpen,254,43.6568254,-79.3966159
Three Kingdoms Pizza,"5 Baldwin St (McCaul), Toronto ON M5T 1L1",LikelyOpen,340,43.6568254,-79.3966159
Mare Pizzeria,"185 Baldwin St, Toronto ON M5T 1M1",Unsure,423,43.6568254,-79.3966159
Pizzeria Da Mario,"253 Augusta Ave, Toronto ON M5T 2L8",LikelyOpen,474,43.6568254,-79.3966159
King David Pizza,"600 University Ave, Toronto ON M5G 1X5",Unsure,480,43.6568254,-79.3966159
Planet Pizza,"339 College St, Toronto ON M5T 1S2",Unsure,486,43.6568254,-79.3966159
Tosto Quickfire Pizza Pasta,"800 Bay St, Toronto ON M5S 3A9",VeryLikelyOpen,943,43.6568254,-79.3966159
Amato Pizza,"380 College St, Toronto ON M5T 1S6",LikelyOpen,682,43.6568254,-79.3966159
Pizza Palazzo,"376 College St, Toronto ON M5T 1S6",LikelyOpen,667,43.6568254,-79.3966159
Pizza Pizza,"761 Bay St, Toronto ON M5G 2R2",LikelyOpen,988,43.6568254,-79.3966159
Deepizz Pizzeria,"384 College St (Borden St), Toronto ON M5T 1S7",LikelyOpen,721,43.6568254,-79.3966159
Domino's Pizza,"404 College St, Toronto ON M5T 1S8",LikelyOpen,769,43.6568254,-79.3966159
Wing Machine,"399 Bathurst St (Dundas), Toronto ON M5T 2S8",LikelyOpen,797,43.6568254,-79.3966159
Piccolo Piano Pizzeria,"89 Harbord St, Toronto ON M5S 1G4",LikelyOpen,846,43.6568254,-79.3966159
Pickle Drum Bar and Grill,"430 1/2 College St, Toronto ON M5T 1T3",Unsure,849,43.6568254,-79.3966159
Gino's Pizza,"399 Bathurst St (Dundas), Toronto ON M5T 2S8",LikelyOpen,882,43.6568254,-79.3966159
Qui Ristorante Pizzeria | Best pasta near me in Toronto,"1654 Stclair Ave W, Toronto ON M6N 1H8",LikelyOpen,888,43.6568254,-79.3966159
241 Pizza,"327 Queen St E, Toronto ON M5A 1S9",LikelyOpen,894,43.6568254,-79.3966159
Cora Pizza,"1 U002F2 Spadina Ave, Toronto ON M5S 2H7",LikelyOpen,864,43.6568254,-79.3966159
Domino's Pizza,"410 Queen St W, Toronto ON M5V 2A7",VeryLikelyOpen,906,43.6568254,-79.3966159
Pizzaiolo,"770 Bay St (College St), Toronto ON M5G 0A6",LikelyOpen,934,43.6568254,-79.3966159
Panzerotto Pizza,"404 Queen St W, Toronto ON M5V 2A6",LikelyOpen,941,43.6568254,-79.3966159
Panago,"717 Bay St (St. Clair), Toronto ON",LikelyOpen,993,43.6568254,-79.3966159
Papa Ceo Fine Italian Foods & Pizza,"654 Spadina Ave, Toronto ON M5S 2H7",LikelyOpen,853,43.6568254,-79.3966159
Pizza Pizza,"228 Queen St W, Toronto ON M5V 1Z6",VeryLikelyOpen,916,43.6568254,-79.3966159
Ziad Boshmaf the Saj,"199 College St, Toronto ON M5T 1P9",Unsure,247,43.6568254,-79.3966159
Back Alley Romolo pizza napoletana,"188 Augusta Ave, Toronto ON M5T 2L6",Unsure,532,43.6568254,-79.3966159
Pizzaiolo Gourmet Pizza,"289 Dundas St W, Toronto ON M5T 1G1",LikelyOpen,544,43.6568254,-79.3966159
2-4-1 Pizza,"122 Dundas St W, Toronto ON M5G 1C3",Unsure,976,43.6568254,-79.3966159
Gino's Pizza,"4700 Keele St, Vaughan ON M3J 1P3",LikelyOpen,165,43.7741,-79.5005
Pizza Studio,"105 the Pond Rd, Toronto ON M3J 0K9",LikelyOpen,511,43.7741,-79.5005
Domino's Pizza,"4207 Keele St, North York ON M3J 3T8",LikelyOpen,601,43.7741,-79.5005
Upper Crust,"55 Canarctic Dr, North York ON M3J 2N7",Unsure,734,43.7741,-79.5005
Blaze Pizza,"10 Dundas St E, Toronto ON M5B 2G9",VeryLikelyOpen,127,43.656094,-79.381484
Terroni,"57A Adelaide St E (at Church St.), Toronto ON M5C 1K6",VeryLikelyOpen,743,43.656094,-79.381484
Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",VeryLikelyOpen,910,43.656094,-79.381484
North of Brooklyn Pizzeria,"469 Church St (at Wellesley St.), Toronto ON M4Y 2C5",VeryLikelyOpen,929,43.656094,-79.381484
Panago Pizza Inc,"44 Gerrard St W (at Bay St.), Toronto ON M5G 2K2",LikelyOpen,381,43.656094,-79.381484
La Bettola Di Terroni,"106 Victoria St, Toronto ON M5C 2B4",LikelyOpen,532,43.656094,-79.381484
Pizzaiolo,"104 Yonge St (at Adelaide St W), Toronto ON M5C 2Y6",LikelyOpen,720,43.656094,-79.381484
Boston Pizza,"401 Yonge St, Toronto ON M5B 1S9",LikelyOpen,362,43.656094,-79.381484
Express Pizza,"447 Church St (at Alexander St.), Toronto ON M4Y 2C5",Unsure,877,43.656094,-79.381484
Slice New York,"633 Bay St (at Bay), Toronto ON M5G 1C9",LikelyOpen,209,43.656094,-79.381484
Pizza Pizza,"346 Yonge St, Toronto ON M5B 1R8",LikelyOpen,199,43.656094,-79.381484
Pizza Pizza,"761 Bay St, Toronto ON M5G 2R2",LikelyOpen,469,43.656094,-79.381484
Pizza Italia,"372 Yonge St, Toronto ON M5B 1S6",Unsure,301,43.656094,-79.381484
Tosto Quickfire Pizza Pasta,"800 Bay St, Toronto ON M5S 3A9",VeryLikelyOpen,691,43.656094,-79.381484
Pizzaiolo,"289 Dundas St W (at McCaul St), Toronto ON M5T 1G1",LikelyOpen,789,43.656094,-79.381484
Mamma's Pizza,"Yonge St, Toronto ON",LikelyOpen,373,43.656094,-79.381484
Panago,"717 Bay St (St. Clair), Toronto ON",LikelyOpen,379,43.656094,-79.381484
Sbarro,"220 Yonge St (in Toronto Eaton Centre), Toronto ON M5B 2H1",LikelyOpen,89,43.656094,-79.381484
Bene,"176 Yonge St (at Queen St W), Toronto ON M5C 2L7",LikelyOpen,458,43.656094,-79.381484
Fantastico Pizza,"288 Kerr St, Toronto ON",LikelyOpen,497,43.656094,-79.381484
Pizza Pizza,"471 Yonge St, Toronto ON M4Y 1X4",LikelyOpen,673,43.656094,-79.381484
Bocconcini Pizza & Wings,"96 Gerrard St E, Toronto ON M5B 1G7",LikelyOpen,555,43.656094,-79.381484
Za Cafe Pizzeria + Bar,"372 Bay St, Toronto ON M5H 2W9",VeryLikelyOpen,564,43.656094,-79.381484
Assembli Pizza,"373 Church St, Toronto ON M5B 1Z9",LikelyOpen,595,43.656094,-79.381484
Pi Co,"432 Church St, Toronto ON M5B 2A4",LikelyOpen,602,43.656094,-79.381484
Mamjoun Pizzeria,"209 Ellesmere Rd, Scarborough ON M1R 4E2",LikelyOpen,612,43.656094,-79.381484
Mamma's Pizza,"127 Yonge St, Toronto ON M5C 1W4",VeryLikelyOpen,613,43.656094,-79.381484
The Good Son Pizza,"111 Richmond St W, Toronto ON M5H 2G4",LikelyOpen,636,43.656094,-79.381484
Domino's Pizza,"67 Richmond St East NO, Toronto ON M5C 1N9",LikelyOpen,670,43.656094,-79.381484
Pizzaiola Gourmet Pizza,"100 Adelaide St W, Toronto ON M5H 1S3",LikelyOpen,713,43.656094,-79.381484
Domino's Pizza,"478 Yonge St, Toronto ON M4Y 1X5",LikelyOpen,720,43.656094,-79.381484
George's Pizza,"252 Dundas St E, Toronto ON M5A 1Z6",Unsure,746,43.656094,-79.381484
Papa John's Pizza,"200 Dundas St E, Toronto ON M5R 4R2",LikelyOpen,747,43.656094,-79.381484
King David Pizza,"600 University Ave, Toronto ON M5G 1X5",Unsure,759,43.656094,-79.381484
Pizza Rustica,"95 King St E, Toronto ON M5C 1G4",LikelyOpen,858,43.656094,-79.381484
Pizza Studio,"500 Church St (Alexander St), Toronto ON M4Y 2C8",LikelyOpen,875,43.656094,-79.381484
Three Kingdoms Pizza,"5 Baldwin St (McCaul), Toronto ON M5T 1L1",LikelyOpen,885,43.656094,-79.381484
Pizza Pizza,"100 Training Ave, Toronto ON A1A 1A1",LikelyOpen,921,43.656094,-79.381484
Pi Co,"60 Colborne St, Toronto ON M5E 0B7",VeryLikelyOpen,937,43.656094,-79.381484
Uncle Tony's,"38 Wellington St E (Wellington and Scott), Toronto ON M5E 1C7",LikelyOpen,989,43.656094,-79.381484
Pizzaface Italian Bar + Kitchen,"221 Richmond St W, Toronto ON M5V 1W2",LikelyOpen,998,43.656094,-79.381484
2-4-1 Pizza,"122 Dundas St W, Toronto ON M5G 1C3",Unsure,251,43.656094,-79.381484
Pizza Shab,"113 Bond St, Toronto ON M5B 1Y2",LikelyOpen,284,43.656094,-79.381484
Vesuviana's Lotta Pizza,"128 Hucknall Rd 2, Toronto ON M3J 1V8",Unsure,691,43.656094,-79.381484
Pizzaiolo Gourmet Pizza,"289 Dundas St W, Toronto ON M5T 1G1",LikelyOpen,791,43.656094,-79.381484
Pizza Nova,"526 Church St, Toronto ON M4Y 2E1",LikelyOpen,970,43.656094,-79.381484
Bitondo Pizzeria,"11 Clinton St (at Henderson Ave), Toronto ON M6J 2N7",LikelyOpen,821,43.661559,-79.413845
Terrazza,"372 Harbord St (shaw), Toronto ON M6G 1H9",VeryLikelyOpen,723,43.661559,-79.413845
Napoli Centrale,"964 Bathurst St, Toronto ON M5R 3G5",LikelyOpen,876,43.661559,-79.413845
Marinella,"640 College St (College and Grace), Toronto ON M6G 1B4",LikelyOpen,728,43.661559,-79.413845
Pizza Gigi,"189 Harbord St (at Lippincott), Toronto ON M5S 1H5",VeryLikelyOpen,446,43.661559,-79.413845
Cafe Diplomatico,"594 College St (Clinton St), Toronto ON M6G 1B3",LikelyOpen,694,43.661559,-79.413845
Trattoria Taverniti,"591 College St, Toronto ON M6G 1B2",LikelyOpen,697,43.661559,-79.413845
San Francesco Foods,"10 Clinton St, Toronto ON M6J 2N8",VeryLikelyOpen,845,43.661559,-79.413845
Regina Pizzeria & Trattoria,"782 College St (btwn Shaw St & Roxton Rd), Toronto ON M6G 1C6",VeryLikelyOpen,934,43.661559,-79.413845
Halal Pizza Time & Restaurant,"561 Markham St, Toronto ON M6G 2L6",Unsure,266,43.661559,-79.413845
Pizza Pizza,"558 Bloor St W, Toronto ON M6G 1K1",LikelyOpen,439,43.661559,-79.413845
Pizza Nova,"193 Harbord St (Lippincott), Toronto ON M5S 2R5",LikelyOpen,421,43.661559,-79.413845
Panago Pizza Inc,"787 Bathurst St (Bathurst bloor), Toronto ON M5S 0B7",LikelyOpen,423,43.661559,-79.413845
Pizzaville,"635 Markham St, Toronto ON M6G 2M1",VeryLikelyOpen,424,43.661559,-79.413845
Menchella's Gourmet Pizza,"452 Bloor St W, Toronto ON",LikelyOpen,614,43.661559,-79.413845
Pizzaiolo,"416 Bloor St W, Toronto ON M5S 1X5",LikelyOpen,670,43.661559,-79.413845
La Festa Pizzeria,"821A Bloor St W (Crawford St.), Toronto ON M6G 1M1",LikelyOpen,703,43.661559,-79.413845
Amato Pizza,"380 College St, Toronto ON M5T 1S6",LikelyOpen,857,43.661559,-79.413845
Pizzeria Libretto,"589 College St, Toronto ON M6G 1B2",LikelyOpen,707,43.661559,-79.413845
Tav's Gnocchi Pizza Bar,"589 College St, Toronto ON M6G 1B2",LikelyOpen,714,43.661559,-79.413845
Danny's Pizza Tavern,"611 College St, Toronto ON M6G 1B5",VeryLikelyOpen,744,43.661559,-79.413845
Pickle Drum Bar and Grill,"430 1/2 College St, Toronto ON M5T 1T3",Unsure,754,43.661559,-79.413845
Standard Club,"667 College St, Toronto ON M6G 1B9",LikelyOpen,767,43.661559,-79.413845
Papa John's Pizza,"653 College St, Toronto ON M6G 1B7",LikelyOpen,775,43.661559,-79.413845
Pizza Nova,"703 College St (at Montrose), Toronto ON M6G 1C2",Unsure,794,43.661559,-79.413845
Domino's Pizza,"404 College St, Toronto ON M5T 1S8",LikelyOpen,800,43.661559,-79.413845
Deepizz Pizzeria,"384 College St (Borden St), Toronto ON M5T 1S7",LikelyOpen,830,43.661559,-79.413845
Piccolo Piano Pizzeria,"89 Harbord St, Toronto ON M5S 1G4",LikelyOpen,841,43.661559,-79.413845
Domino's Pizza,"936 Bathurst St, Toronto ON M5R 3G5",VeryLikelyOpen,841,43.661559,-79.413845
Giovanni's Italian Kitchen & Pizza Bar,"760A College St, Toronto ON M6G 1C4",LikelyOpen,844,43.661559,-79.413845
Pidza,"858 Bloor St W, Toronto ON M6G 1M2",LikelyOpen,863,43.661559,-79.413845
Garfield Eats,"995 Bloor St W, Toronto ON M6H 1M1",LikelyOpen,863,43.661559,-79.413845
Pizza Palazzo,"376 College St, Toronto ON M5T 1S6",LikelyOpen,868,43.661559,-79.413845
Delisso Pizza & Wings,"772 College St, Toronto ON M6G 1C6",LikelyOpen,897,43.661559,-79.413845
Amato,"770 College St (Shaw), Toronto ON M6G 1C6",LikelyOpen,897,43.661559,-79.413845
Pizzaville,"796 College St, Toronto ON M6G 1C6",LikelyOpen,954,43.661559,-79.413845
Cora Pizza,"1 U002F2 Spadina Ave, Toronto ON M5S 2H7",LikelyOpen,935,43.661559,-79.413845
Gino's Pizza,"802 College St (at Roxton Rd.), Toronto ON M6G 1C8",LikelyOpen,982,43.661559,-79.413845
Papa Ceo Fine Italian Foods & Pizza,"654 Spadina Ave, Toronto ON M5S 2H7",LikelyOpen,934,43.661559,-79.413845
Capitol Trattoria Pizzeria,"597 College St, Toronto ON M6G 1B5",Unsure,723,43.661559,-79.413845
Pi Co,"1200 Bay St, Toronto ON M5R 2A5",LikelyOpen,757,43.663376,-79.392125
North of Brooklyn Pizzeria,"469 Church St (at Wellesley St.), Toronto ON M4Y 2C5",VeryLikelyOpen,965,43.663376,-79.392125
Pizza Fresca,"302 College St (at Robert St), Toronto ON M5T 1R9",LikelyOpen,987,43.663376,-79.392125
Panago Pizza Inc,"44 Gerrard St W (at Bay St.), Toronto ON M5G 2K2",LikelyOpen,803,43.663376,-79.392125
Pizza Nova,"1001 Bay St (St Joseph), Toronto ON M5S 3A6",LikelyOpen,446,43.663376,-79.392125
Tosto Quickfire Pizza Pasta,"800 Bay St, Toronto ON M5S 3A9",VeryLikelyOpen,515,43.663376,-79.392125
